,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
HAILO NPU,hailo,57.5,10,296,8,97.33,3,99.02,85.00,8,2,0.2718,1.0000,0.4260,296,19,93.48,13,95.57,94.50,19,2,0.1037,1.0000,0.1879,296,22,92.50,9,96.93,94.00,22,1,0.0454,1.0000,0.0868
HAILO NPU,hailo,60,10,296,8,97.33,3,99.02,85.00,8,2,0.2718,1.0000,0.4260,296,19,93.48,13,95.57,94.50,19,2,0.1037,1.0000,0.1879,296,22,92.50,9,96.93,94.00,22,1,0.0454,1.0000,0.0868
HAILO NPU,hailo,62.5,10,296,8,97.33,3,99.02,85.00,7,2,0.2746,1.0000,0.4297,296,19,93.48,13,95.57,94.50,19,2,0.1048,1.0000,0.1896,296,22,92.50,9,96.93,94.00,22,1,0.0466,1.0000,0.0890
HAILO NPU,hailo,65,10,296,8,97.33,3,99.02,85.00,7,2,0.2746,1.0000,0.4297,296,19,93.48,13,95.57,94.50,19,2,0.1048,1.0000,0.1896,296,22,92.50,9,96.93,94.00,22,1,0.0466,1.0000,0.0890
HAILO NPU,hailo,67.5,10,296,8,97.33,3,99.02,85.00,7,2,0.2746,1.0000,0.4297,296,19,93.48,13,95.57,94.50,19,2,0.1048,1.0000,0.1896,296,22,92.50,9,96.93,94.00,22,1,0.0466,1.0000,0.0890
HAILO NPU,hailo,70,10,296,8,97.33,3,99.02,85.00,7,2,0.2746,1.0000,0.4297,296,19,93.48,13,95.57,94.50,19,2,0.1048,1.0000,0.1896,296,22,92.50,9,96.93,94.00,22,1,0.0466,1.0000,0.0890
HAILO NPU,hailo,72.5,10,296,8,97.33,3,99.02,85.00,5,2,0.3933,1.0000,0.5643,296,19,93.48,13,95.57,94.50,19,2,0.1048,1.0000,0.1896,296,22,92.50,9,96.93,94.00,20,1,0.0513,1.0000,0.0976
HAILO NPU,hailo,75,10,296,8,97.33,3,99.02,85.00,5,2,0.3933,1.0000,0.5643,296,19,93.48,13,95.57,94.50,19,2,0.1048,1.0000,0.1896,296,22,92.50,9,96.93,94.00,20,1,0.0513,1.0000,0.0976
HAILO NPU,hailo,77.5,10,296,8,97.33,3,99.02,85.00,5,2,0.3933,1.0000,0.5643,296,19,93.48,13,95.57,94.50,19,2,0.1048,1.0000,0.1896,296,22,92.50,9,96.93,94.00,20,1,0.0513,1.0000,0.0976
HAILO NPU,hailo,80,10,296,8,97.33,3,99.02,85.00,5,2,0.3933,1.0000,0.5643,296,19,93.48,13,95.57,94.50,19,2,0.1048,1.0000,0.1896,296,22,92.50,9,96.93,94.00,20,1,0.0513,1.0000,0.0976
HAILO NPU,hailo,82.5,10,296,8,97.33,3,99.02,85.00,2,1,0.5833,0.5000,0.5233,296,19,93.48,13,95.57,94.50,17,2,0.1199,1.0000,0.2141,296,22,92.50,9,96.93,94.00,17,1,0.0416,0.7000,0.0785
HAILO NPU,hailo,85,10,296,8,97.33,3,99.02,85.00,2,1,0.5833,0.5000,0.5233,296,19,93.48,13,95.57,94.50,17,2,0.1199,1.0000,0.2141,296,22,92.50,9,96.93,94.00,17,1,0.0416,0.7000,0.0785
HAILO NPU,hailo,87.5,10,296,8,97.33,3,99.02,85.00,1,1,0.8000,0.5000,0.6000,296,19,93.48,13,95.57,94.50,17,2,0.1199,1.0000,0.2141,296,22,92.50,9,96.93,94.00,14,1,0.0478,0.7000,0.0894
HAILO NPU,hailo,90,10,296,8,97.33,3,99.02,85.00,1,1,0.8000,0.5000,0.6000,296,19,93.48,13,95.57,94.50,17,2,0.1199,1.0000,0.2141,296,22,92.50,9,96.93,94.00,14,1,0.0478,0.7000,0.0894
HAILO NPU,hailo,92.5,10,296,8,97.33,3,99.02,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.48,13,95.57,94.50,13,1,0.0685,0.4500,0.1189,296,22,92.50,9,96.93,94.00,12,1,0.0589,0.7000,0.1086
HAILO NPU,hailo,95,10,296,8,97.33,3,99.02,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.48,13,95.57,94.50,13,1,0.0685,0.4500,0.1189,296,22,92.50,9,96.93,94.00,12,1,0.0589,0.7000,0.1086
HAILO NPU,hailo,97.5,10,296,8,97.33,3,99.02,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.48,13,95.57,94.50,13,1,0.0685,0.4500,0.1189,296,22,92.50,9,96.93,94.00,11,1,0.0618,0.7000,0.1135
HAILO NPU,hailo,100,10,296,8,97.33,3,99.02,85.00,0,0,0.0000,0.0000,0.0000,296,19,93.48,13,95.57,94.50,13,1,0.0685,0.4500,0.1189,296,22,92.50,9,96.93,94.00,11,1,0.0618,0.7000,0.1135
NVIDIA GPU,nvidia,50,10,7624,29,99.62,14,99.82,81.00,28,2,0.0729,1.0000,0.1359,7624,40,99.48,19,99.75,90.00,39,3,0.0744,1.0000,0.1385,7624,44,99.42,29,99.62,89.83,43,3,0.0694,1.0000,0.1297
