,,,,Relevant Functions,,,,,,,,,,,KD Entry Point,,,,,,,,,,,SMem Handling,,,,,,,,,,
Accelerator,Platform,Threshold,Runs,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1,Total,Flagged,BER,Manual,NER,VRC,Retrieved,TP,Precision,Recall,F1
NVIDIA GPU,nvidia,57.5,10,7624,29,99.62,14,99.82,80.00,28,2,0.0728,1.0000,0.1356,7624,40,99.48,20,99.75,90.00,40,2,0.0507,1.0000,0.0964,7624,45,99.41,28,99.63,90.00,43,3,0.0698,1.0000,0.1304
NVIDIA GPU,nvidia,60,10,7624,29,99.62,14,99.82,80.00,28,2,0.0728,1.0000,0.1356,7624,40,99.48,20,99.75,90.00,40,2,0.0507,1.0000,0.0964,7624,45,99.41,28,99.63,90.00,43,3,0.0698,1.0000,0.1304
NVIDIA GPU,nvidia,62.5,10,7624,29,99.62,14,99.82,80.00,27,2,0.0755,1.0000,0.1404,7624,40,99.48,20,99.75,90.00,37,2,0.0541,1.0000,0.1026,7624,45,99.41,28,99.63,90.00,38,3,0.0789,1.0000,0.1463
NVIDIA GPU,nvidia,65,10,7624,29,99.62,14,99.82,80.00,27,2,0.0755,1.0000,0.1404,7624,40,99.48,20,99.75,90.00,37,2,0.0541,1.0000,0.1026,7624,45,99.41,28,99.63,90.00,38,3,0.0789,1.0000,0.1463
NVIDIA GPU,nvidia,67.5,10,7624,29,99.62,14,99.82,80.00,27,2,0.0755,1.0000,0.1404,7624,40,99.48,20,99.75,90.00,37,2,0.0541,1.0000,0.1026,7624,45,99.41,28,99.63,90.00,38,3,0.0789,1.0000,0.1463
NVIDIA GPU,nvidia,70,10,7624,29,99.62,14,99.82,80.00,27,2,0.0755,1.0000,0.1404,7624,40,99.48,20,99.75,90.00,37,2,0.0541,1.0000,0.1026,7624,45,99.41,28,99.63,90.00,38,3,0.0789,1.0000,0.1463
NVIDIA GPU,nvidia,72.5,10,7624,29,99.62,14,99.82,80.00,15,2,0.1333,1.0000,0.2353,7624,40,99.48,20,99.75,90.00,34,2,0.0588,1.0000,0.1111,7624,45,99.41,28,99.63,90.00,34,3,0.0882,1.0000,0.1622
NVIDIA GPU,nvidia,75,10,7624,29,99.62,14,99.82,80.00,15,2,0.1333,1.0000,0.2353,7624,40,99.48,20,99.75,90.00,34,2,0.0588,1.0000,0.1111,7624,45,99.41,28,99.63,90.00,34,3,0.0882,1.0000,0.1622
NVIDIA GPU,nvidia,77.5,10,7624,29,99.62,14,99.82,80.00,15,2,0.1333,1.0000,0.2353,7624,40,99.48,20,99.75,90.00,34,2,0.0588,1.0000,0.1111,7624,45,99.41,28,99.63,90.00,34,3,0.0882,1.0000,0.1622
NVIDIA GPU,nvidia,80,10,7624,29,99.62,14,99.82,80.00,15,2,0.1333,1.0000,0.2353,7624,40,99.48,20,99.75,90.00,34,2,0.0588,1.0000,0.1111,7624,45,99.41,28,99.63,90.00,34,3,0.0882,1.0000,0.1622
